time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-26T22:12:58.376Z,84.4877,105.6611,10,5.1,mb,,39,12.765,0.69,us,us700045mr,2019-06-26T22:31:42.040Z,North of Severnaya Zemlya,earthquake,8.8,1.9,0.035,271,reviewed,us,us
2019-06-26T22:01:09.575Z,36.4656,70.8702,129.26,4.5,mb,,74,2.431,0.36,us,us700045m9,2019-06-27T05:30:28.239Z,"44km S of Jarm, Afghanistan",earthquake,6.2,4.7,0.089,37,reviewed,us,us
2019-06-26T21:33:32.571Z,36.835,70.9788,100.72,4.4,mb,,73,2.398,0.9,us,us700045la,2019-06-26T21:49:01.040Z,"13km ESE of Jarm, Afghanistan",earthquake,5.8,8.6,0.13,17,reviewed,us,us
2019-06-26T20:39:02.360Z,18.9181,-64.9278,32,2.71,md,10,334,1.2044,0.32,pr,pr2019177010,2019-06-27T00:34:58.957Z,"63km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.56,19.85,0.32,7,reviewed,pr,pr
2019-06-26T20:31:33.850Z,19.4195,-65.2405,51,2.76,md,10,329,1.4148,0.28,pr,pr2019177009,2019-06-27T00:34:46.949Z,"123km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.18,12.8,0.33,10,reviewed,pr,pr
2019-06-26T20:08:57.560Z,18.9806,-64.9935,45,2.76,md,6,333,1.1977,0.23,pr,pr2019177007,2019-06-27T00:34:29.877Z,"71km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.44,14.29,0.4,5,reviewed,pr,pr
2019-06-26T19:57:50.684Z,61.9884,-148.253,12,2.7,ml,,,,0.71,ak,ak019851rzmg,2019-06-27T03:32:23.775Z,"38km NE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-26T18:59:17.170Z,19.6473,-65.4016,11,3.3,md,15,291,1.502,0.27,pr,pr2019177006,2019-06-26T19:56:51.582Z,"142km NNE of Vieques, Puerto Rico",earthquake,6.18,9.06,0.44,10,reviewed,pr,pr
2019-06-26T18:06:29.664Z,-31.0124,-177.2946,10,5.3,mww,,64,1.845,1.02,us,us700045f8,2019-06-26T18:25:56.040Z,"159km ENE of L'Esperance Rock, New Zealand",earthquake,9.1,1.9,0.073,18,reviewed,us,us
2019-06-26T17:34:37.550Z,45.5596667,-111.8731667,3.17,2.78,ml,31,45,0.175,0.19,mb,mb80349824,2019-06-27T13:11:37.560Z,"30km N of Virginia City, Montana",earthquake,0.3,1.36,0.238,24,reviewed,mb,mb
